question,answer
choose the poem that uses onomatopoeia.,"Ay, bring the hillside beech
From where the owlets meet and screech,
And ravens croak;
The crackling pine, and cedar sweet"
"is the following trait inherited or acquired?
lexi is good at cooking.",acquired
what information supports the conclusion that judith inherited this trait?,Judith's parents have dark skin. They passed down this trait to Judith.
"is the following trait inherited or acquired?
shawna has a scar on her left knee.",acquired
what information supports the conclusion that deb inherited this trait?,Deb's parents were born with wavy hair. They passed down this trait to Deb.
"based on this information, what is toriel's phenotype for the coat color trait?",a black coat
"is there a sentence fragment?
we called a taxi for mr. mcclure. whose car was towed from the no-parking zone in front of the firehouse.",yes
"what does the metaphor in this text suggest?
when zeke lost his job, he was devastated. the only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Zeke's job loss.
what is the temperature of a hot day in the desert?,47°C
what information supports the conclusion that john inherited this trait?,John's biological father wears contacts in his hazel eyes.
"what do these two changes have in common?
a copper statue turning green
baking an apple pie",Both are chemical changes.
"what kind of sentence is this?
no one lives at the base of the volcano.",declarative
"would you find the word beauty on a dictionary page with the following guide words?
blame - bunk",no
"complete the statement.
phosphine is ().",a compound
"what do these two changes have in common?
baking cookies
water evaporating from a puddle",Both are caused by heating.
what is the mass of a school bus?,15 tons
what is the mass of an ear of corn?,12 ounces
"last year, there were seven men's clothing stores on main street in ashland. this year, there are only three. what probably happened to the overall supply of men's shirts in ashland?",The supply probably went down.
"would you find the word other on a dictionary page with the following guide words?
occur - oil",no
what information supports the conclusion that shawn acquired this trait?,Shawn's scar was caused by an accident. He cut his arm when he fell off his bicycle.
"what is the source of the allusion in the sentence below?
much to our shock, erik chose to turn the other cheek when cora insulted him in a meeting.",the Bible
what information supports the conclusion that percy acquired this trait?,Percy's friend showed him how to ride a bicycle.
"what do these two changes have in common?
boiling an egg
acid rain weathering a marble statue",Both are chemical changes.
what is the mass of an eraser?,2 ounces
what information supports the conclusion that jackie acquired this trait?,A pilot taught Jackie how to fly a plane.
"what does the verbal irony in this text suggest?
""someone had better turn on the heat,"" isabelle said, sweat glistening on her face.",The temperature was too warm.
what is the volume of a paper drinking cup?,175 milliliters
"does the sentence use a simile or a metaphor?
from across the room, uncle ronald's laughter was booming thunder.",metaphor
